iter	Passed	Remaining
904	34451	34070
905	34489	34032
906	34528	33995
907	34565	33956
908	34603	33918
909	34641	33880
910	34678	33840
911	34717	33803
912	34755	33765
913	34791	33725
914	34832	33690
915	34872	33654
916	34909	33615
917	34944	33574
918	34982	33535
919	35023	33500
920	35061	33462
921	35105	33429
922	35145	33393
923	35191	33363
924	35231	33326
925	35277	33296
926	35333	33275
927	35375	33241
928	35421	33210
929	35460	33172
930	35505	33140
931	35551	33109
932	35591	33074
933	35636	33042
934	35675	33004
935	35725	32977
936	35773	32948
937	35815	32913
938	35853	32875
939	35892	32837
940	35931	32800
941	35968	32761
942	36005	32721
943	36041	32681
944	36084	32647
945	36125	32612
946	36167	32577
947	36203	32537
948	36239	32497
949	36279	32460
950	36315	32420
951	36352	32381
952	36389	32341
953	36423	32300
954	36460	32260
955	36498	32222
956	36538	32186
957	36577	32148
958	36617	32111
959	36654	32072
960	36693	32035
961	36732	31997
962	36772	31960
963	36807	31919
964	36843	31879
965	36881	31841
966	36917	31801
967	36953	31761
968	36993	31724
969	37033	31688
970	37074	31652
971	37110	31612
972	37152	31577
973	37189	31538
974	37225	31498
975	37259	31456
976	37299	31420
977	37338	31382
978	37376	31344
979	37414	31305
980	37452	31267
981	37489	31228
982	37526	31189
983	37560	31147
984	37597	31108
985	37634	31069
986	37674	31032
987	37710	30993
988	37746	30953
989	37783	30913
990	37823	30877
991	37864	30841
992	37902	30802
993	37940	30764
994	37977	30725
995	38015	30687
996	38057	30652
997	38096	30614
998	38133	30575
999	38171	30537
1000	38210	30499
1001	38251	30463
1002	38289	30425
1003	38324	30384
1004	38363	30347
1005	38400	30308
1006	38438	30269
1007	38475	30230
1008	38510	30190
1009	38550	30153
1010	38589	30115
1011	38626	30076
1012	38668	30041
1013	38704	30001
1014	38741	29962
1015	38777	29922
1016	38815	29884
1017	38851	29844
1018	38890	29806
1019	38931	29771
1020	38973	29735
1021	39010	29696
1022	39047	29658
1023	39086	29620
1024	39124	29582
1025	39161	29542
1026	39196	29502
1027	39236	29465
1028	39279	29430
1029	39317	29392
1030	39353	29353
1031	39396	29318
1032	39438	29283
1033	39477	29245
1034	39513	29205
1035	39551	29167
1036	39596	29134
1037	39634	29095
1038	39675	29059
1039	39713	29021
1040	39747	28980
1041	39784	28941
1042	39825	28904
1043	39863	28866
1044	39899	28826
1045	39934	28786
1046	39974	28749
1047	40015	28713
1048	40056	28677
1049	40093	28638
1050	40132	28600
1051	40171	28563
1052	40212	28526
1053	40246	28485
1054	40286	28448
1055	40327	28412
1056	40367	28375
1057	40404	28336
1058	40441	28297
1059	40481	28260
1060	40519	28222
1061	40558	28184
1062	40596	28146
1063	40637	28110
1064	40675	28072
1065	40715	28035
1066	40756	27998
1067	40794	27960
1068	40839	27926
1069	40878	27888
1070	40917	27851
1071	40954	27812
1072	40992	27774
1073	41031	27736
1074	41071	27699
1075	41112	27663
1076	41155	27627
1077	41192	27588
1078	41231	27551
1079	41271	27514
1080	41307	27474
1081	41347	27437
1082	41388	27401
1083	41428	27364
1084	41469	27327
1085	41507	27289
1086	41544	27250
1087	41583	27212
1088	41620	27173
1089	41657	27134
1090	41696	27096
1091	41735	27059
1092	41772	27020
1093	41809	26981
1094	41846	26941
1095	41887	26906
1096	41925	26867
1097	41962	26828
1098	42005	26793
1099	42044	26755
1100	42082	26717
1101	42120	26678
1102	42156	26639
1103	42196	26601
1104	42237	26565
1105	42277	26528
1106	42316	26490
1107	42351	26450
1108	42393	26414
1109	42431	26376
1110	42468	26337
1111	42507	26299
1112	42549	26263
1113	42591	26227
1114	42630	26189
1115	42665	26149
1116	42704	26112
1117	42744	26074
1118	42782	26036
1119	42838	26008
1120	42877	25971
1121	42914	25932
1122	42952	25894
1123	42989	25854
1124	43031	25818
1125	43069	25780
1126	43104	25740
1127	43140	25700
1128	43177	25661
1129	43213	25622
1130	43250	25583
1131	43286	25543
1132	43326	25506
1133	43368	25470
1134	43404	25430
1135	43445	25394
1136	43483	25355
1137	43521	25317
1138	43562	25280
1139	43597	25240
1140	43634	25201
1141	43674	25164
1142	43712	25126
1143	43751	25088
1144	43789	25050
1145	43830	25013
1146	43869	24975
1147	43907	24936
1148	43944	24897
1149	43984	24860
1150	44019	24820
1151	44058	24782
1152	44098	24745
1153	44136	24707
1154	44179	24671
1155	44215	24632
1156	44254	24594
1157	44296	24558
1158	44334	24519
1159	44372	24481
1160	44410	24443
1161	44448	24404
1162	44484	24365
1163	44517	24324
1164	44555	24285
1165	44595	24248
1166	44640	24213
1167	44681	24176
