level,split,feature_set,engine,family,tweedie_power,config_id,seed,severity_mode,calibration,tail_mapper,fold_id,n_valid,rmse_prime,auc_freq,brier_freq,rmse_sev_pos,q99_ratio_pos,run_id,rmse_gap_secondary,rmse_gap_aux,pred_q99_test,pred_q90_test,pred_q99_oof_primary,q99_test_over_oof_primary,distribution_collapse_flag,tail_dispersion_flag
run,secondary_group,compact_v2,lightgbm,two_part_tweedie,1.3,lgb_v2_c2,2026,weighted_tail,isotonic,piecewise_monotone_safe,-1,50000,551.2603510010487,0.6343067226243715,0.05425290720873712,2113.6597422754194,1.2339708391034063,compact_v2|lightgbm|two_part_tweedie|1.3|lgb_v2_c2|2026|weighted_tail|isotonic|piecewise_monotone_safe,-4.887391566927704,-4.409415788101114,415.60941589628675,199.22108539650353,504.91634477119266,0.8231252962995759,0,0
run,aux_blocked5,compact_v2,lightgbm,two_part_tweedie,1.3,lgb_v2_c2,2026,weighted_tail,none,piecewise_monotone_safe,-1,50000,552.7378942619977,0.63333735519294,0.0543521543219308,2058.19129856313,1.1143509677440007,compact_v2|lightgbm|two_part_tweedie|1.3|lgb_v2_c2|2026|weighted_tail|none|piecewise_monotone_safe,-3.6795903499729548,-3.077591615164124,437.2168152634966,198.36437184295505,531.9697230704737,0.8218828935224486,0,0
run,aux_blocked5,compact_v2,lightgbm,two_part_tweedie,1.3,lgb_v2_c2,2026,weighted_tail,isotonic,piecewise_monotone_safe,-1,50000,551.7383267798753,0.6282134742597212,0.05430330121721912,2058.19129856313,1.1143509677440007,compact_v2|lightgbm|two_part_tweedie|1.3|lgb_v2_c2|2026|weighted_tail|isotonic|piecewise_monotone_safe,-4.887391566927704,-4.409415788101114,417.40305557771234,205.28084890599052,504.91634477119266,0.8266776465057043,0,0
run,primary_time,base_v2,lightgbm,two_part_tweedie,1.5,lgb_v2_c3,42,weighted_tail,none,piecewise_monotone_safe,-1,40000,556.4468423230102,0.5932054681587513,0.054694825816647766,2482.635584142822,1.361817992903399,base_v2|lightgbm|two_part_tweedie|1.5|lgb_v2_c3|42|weighted_tail|none|piecewise_monotone_safe,-3.478134320003619,0.330362492524614,419.88875730334377,188.92665072412308,537.9642888139457,0.7805141828820571,0,0
run,primary_time,base_v2,lightgbm,two_part_tweedie,1.5,lgb_v2_c3,42,weighted_tail,isotonic,piecewise_monotone_safe,-1,40000,556.7493240789357,0.5881389328682525,0.0546684493075682,2482.635584142822,1.361817992903399,base_v2|lightgbm|two_part_tweedie|1.5|lgb_v2_c3|42|weighted_tail|isotonic|piecewise_monotone_safe,-4.406287922032334,-1.7837856753691312,410.5057786226545,198.35628151859538,512.1648249002191,0.8015110735155035,0,0
run,secondary_group,base_v2,lightgbm,two_part_tweedie,1.5,lgb_v2_c3,42,weighted_tail,none,piecewise_monotone_safe,-1,50000,552.9687080030066,0.6383146849598443,0.05428247975133381,2070.839206241015,1.149196497075835,base_v2|lightgbm|two_part_tweedie|1.5|lgb_v2_c3|42|weighted_tail|none|piecewise_monotone_safe,-3.478134320003619,0.330362492524614,422.8630325419326,196.6726271435592,537.9642888139457,0.7860429425050169,0,0
run,secondary_group,base_v2,lightgbm,two_part_tweedie,1.5,lgb_v2_c3,42,weighted_tail,isotonic,piecewise_monotone_safe,-1,50000,552.3430361569034,0.6342953858877697,0.05426264355414343,2070.839206241015,1.149196497075835,base_v2|lightgbm|two_part_tweedie|1.5|lgb_v2_c3|42|weighted_tail|isotonic|piecewise_monotone_safe,-4.406287922032334,-1.7837856753691312,408.83388016120136,202.03686988882083,512.1648249002191,0.7982466977126966,0,0
run,aux_blocked5,base_v2,lightgbm,two_part_tweedie,1.5,lgb_v2_c3,42,weighted_tail,none,piecewise_monotone_safe,-1,50000,556.7772048155348,0.6310179295112881,0.05440750754811585,2121.739235079246,1.2462391788085,base_v2|lightgbm|two_part_tweedie|1.5|lgb_v2_c3|42|weighted_tail|none|piecewise_monotone_safe,-3.478134320003619,0.330362492524614,421.3258091183914,190.07799501679935,537.9642888139457,0.7831854602231905,0,0
run,aux_blocked5,base_v2,lightgbm,two_part_tweedie,1.5,lgb_v2_c3,42,weighted_tail,isotonic,piecewise_monotone_safe,-1,50000,554.9655384035666,0.6279367836189994,0.05439380199790563,2121.739235079246,1.2462391788085,base_v2|lightgbm|two_part_tweedie|1.5|lgb_v2_c3|42|weighted_tail|isotonic|piecewise_monotone_safe,-4.406287922032334,-1.7837856753691312,407.6616660505655,197.2148591360049,512.1648249002191,0.7959579538286077,0,0
run,primary_time,robust_v2,lightgbm,two_part_tweedie,1.5,lgb_v2_c3,42,weighted_tail,none,piecewise_monotone_safe,-1,40000,551.9499446784449,0.6085750954665758,0.05457856679005895,2182.0560408926926,1.2204814834665336,robust_v2|lightgbm|two_part_tweedie|1.5|lgb_v2_c3|42|weighted_tail|none|piecewise_monotone_safe,-0.5937692996124042,1.9910490339848366,396.2639281906643,196.6237641918634,497.8380559850655,0.7959695395455096,0,0
